what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1322799921727
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1322799921737
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1322799921746
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1322799921756
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1322799921758
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1322799921764
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1322799921766
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1322799921776
os,sysinfo,,,"macosx",1322799921779
arch,sysinfo,,,"x86_64",1322799921779
ws,sysinfo,,,"cocoa",1322799921779
locale,sysinfo,,,"ja_JP",1322799921779
processors,sysinfo,,,"4",1322799921779
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1322799921779
java.runtime.version,sysinfo,,,"1.6.0_26-b03-384-10M3425",1322799921779
java.specification.name,sysinfo,,,"Java Platform API Specification",1322799921779
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1322799921779
java.specification.version,sysinfo,,,"1.6",1322799921779
java.vendor,sysinfo,,,"Apple Inc.",1322799921779
java.version,sysinfo,,,"1.6.0_26",1322799921779
java.vm.info,sysinfo,,,"mixed mode",1322799921779
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1322799921779
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1322799921779
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1322799921779
java.vm.specification.version,sysinfo,,,"1.0",1322799921779
java.vm.vendor,sysinfo,,,"Apple Inc.",1322799921779
java.vm.version,sysinfo,,,"20.1-b02-384",1322799921779
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1322799921785
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1322799922200
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322799925980
started,bundle,org.eclipse.wst.xml.core,1.1.601.v201108302147,"org.eclipse.wst.xml.core",1322799954251
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1322799954351
error,log,,,"Failed to load properties file for project 'RWlibs'",1322799954588
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1322799954655
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1322799954713
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322799955589
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1322799956175
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1322799956214
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1322799956489
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1322799956758
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1322799956987
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1322799957393
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1322799957520
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1322799963326
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1322799976975
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322799978844
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322800008079
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1322800008130
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1322800020322
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1322800020332
